year	coal	conv combined cycle natural gas	combustion turbine natural gas	steam turbine	internal combustion engine	oil combustion turbine	oil steam turbine	oil internal combustion engine	nuclear	hydro	wind	photovoltaic	solar thermal	msw	biomass	geothermal
2008	73.40%	40.10%	5.20%	12.40%	4.80%	15.60%	1.50%	2.20%	91.10%	37.20%	31.70%	22.50%	19.50%	69.90%	66.50%	74.70%
2009	65.10%	39.80%	4.50%	11.20%	4.80%	14.50%	1.60%	2.30%	90.30%	39.60%	28.10%	20.60%	23.60%	70.20%	62.10%	73.30%
2010	67.90%	43.80%	5.20%	11.40%	4.80%	13.50%	1.90%	2.00%	91.10%	37.60%	29.80%	20.30%	24.50%	70.80%	57.80%	71.90%
2011	63.70%	43.60%	5.10%	12.40%	7.30%	12.00%	1.20%	2.20%	89.10%	45.90%	32.10%	19.10%	23.90%	70.00%	56.30%	71.80%
2012	56.70%	51.10%	6.00%	12.80%	5.50%	12.80%	1.20%	2.00%	86.10%	39.60%	31.80%	20.30%	23.80%	68.00%	57.30%	68.20%
2013	59.70%	46.50%	4.10%	10.70%	21.50%	11.70%	0.90%	6.70%	90.10%	38.10%	32.30%	19.40%	17.80%	69.60%	50.80%	66.00%
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
		1.20%														
		2.20%														
		2012														
		56.70%														
		51.10%														
		6.00%														
		12.80%														
		5.50%														
		12.80%														
		1.20%														
		2.00%														
		2013														
		59.70%														
		46.50%														
		4.10%														
		10.70%														
		21.50%														
		11.70%														
		0.90%														
		6.70%														
