category,company.name,heat.rate,main.mmbtu,net.mwh,plant.id,plant.name,year
C,ACE Cogeneration Co ,13.7948710253448,4596520,333205,C0001 ,ACE Cogeneration (ACE is Argus Cogen Expansion - Retired),2014
C,Karnavati Holdings Inc ,49.3279479575366,13830280,280374.119999997,C0017 ,Argus Cogen Plant,2014
C,Los Angeles Department of Water & Power (LADWP) ,9.30181684131216,115061800,12369820,C0023 ,Intermountain Power Project (UT),2014
C,Rio Bravo ,11.6619347927498,847439,72667.1015625,C0018 ,Rio Bravo Jasmin,2014
C,Rio Bravo ,11.4917917004014,1334220,116102,C0022 ,Rio Bravo Poso,2014
C,Tesoro Refining & Marketing Company LLC ,14.4305370318842,3007930,208442,C0002 ,Los Angeles Refinery - Calciner,2014
E,Ameresco Inc ,10.6437027707809,169022,15880,E0248 ,Ameresco Butte County Neal Road Landfill,2014
E,Ameresco Inc ,14.3195836281873,627298,43807,E0250 ,Ameresco Chiquita Energy,2014
E,Ameresco Inc ,9.56070153329133,182074,19044,E0252 ,Ameresco Forward LLC,2014
E,Ameresco Inc ,10.6835895361381,950754,88992,E0218 ,Ameresco Half Moon Bay (Ox Mountain Landfill),2014
E,Ameresco Inc ,11.8546986721144,92846,7832,E0255 ,Ameresco Johnson Canyon,2014
E,Ameresco Inc ,10.7000102841863,312130,29171,E0217 ,Ameresco Keller Canyon,2014
E,Ameresco Inc ,10.2916323065729,212162,20615,E0253 ,Ameresco San Joaquin LLC,2014
E,Ameresco Inc ,11.4347280811766,200588,17542,E0214 ,Ameresco Santa Cruz Energy,2014
E,Ameresco Inc ,10.4347897883021,315955,30279,E0071 ,Ameresco Vasco Road LLC,2014
E,Bio Energy Partners/WM Renewable Energy ,18.7122167487685,759716,40600,E0106 ,Altamont Gas Recovery,2014
E,Blue Lake Power LLC ,18.5770537946729,1240780,66791,E0097 ,Blue Lake,2014
E,Brea Parent 2007 LLC c/o Broadrock Renewables LLC ,10.8059216373378,2127740,196905,E0249 ,Brea Expansion Plant - Brea Power II LLC,2014
E,Buena Vista Biomass Power ,17.3211320684316,1856860,107202,E0201 ,Buena Vista Biomass,2014
E,Burney Forest Power ,18.3556255650731,3938640,214574,E0005 ,Burney Forest Products,2014
E,California Bioenergy LLC ,0,0,7984,E0257 ,ABEC Bidart-Old River LLC,2014
E,City of Oxnard Wastewater Division ,10.6904985888993,68184,6378,E0211 ,Oxnard Wastewater Treatment Plant,2014
E,City of San Diego ,17.0705131531158,658000,38546,E0171 ,Gas Utilization Facility (Pt. Loma Sewage TP),2014
E,City of San Diego ,12.5994123408423,102912,8168,E0244 ,North City Cogeneration Facility Expansion (NCCFE),2014
E,City of Santa Maria ,20.001014198783,138047,6902,E0228 ,Santa Maria II Landfill,2014
E,City of Sunnyvale Water Pollution Control Plant ,4.97851103804603,42397,8516,E0181 ,Sunnyvale Water Pollution Control Plant,2014
