technology	overnight_category	online	size	lead.time	base.overnight	contingency.factor	tech.optimism	total.overnight	variable.o.m	fixed.o.m	heat.rate	heat.rate.nth	cost.year	year
Adv CC with CCS	advanced combined cycle with ccs	2010	400	3	969	1.08	1.04	1088	2.58	14.93	8646	7300	2002	2004
Adv CC with CCS	advanced combined cycle with ccs	2010	400	3	992	1.08	1.04	1114	2.6	17.6	8613	7493	2003	2005
Adv CC with CCS	advanced combined cycle with ccs	2010	400	3	1021	1.08	1.04	1147	2.68	18.12	8613	7493	2004	2006
Adv CC with CCS	advanced combined cycle with ccs	2010	400	3	1055	1.08	1.04	1185	2.77	18.72	8547	7493	2005	2007
Adv CC with CCS	advanced combined cycle with ccs	2010	400	3	1254	1.08	1.04	1409	2.86	19.36	8613	7493	2006	2008
Adv CC with CCS	advanced combined cycle with ccs	2016	400	3	1683	1.08	1.04	1890	2.94	19.9	8613	7493	2007	2009
Adv CC with CCS	advanced combined cycle with ccs	2016	400	3	1720	1.08	1.04	1932	3.01	20.35	8613	7493	2008	2010
Adv CC with CCS	advanced combined cycle with ccs	2016	340	3	1813	1.08	1.04	2036	6.37	29.89	7525	7493	2009	2011
Adv CC with CCS	advanced combined cycle with ccs	2017	340	3	1834	1.08	1.04	2060	6.45	30.25	7525	7493	2010	2012
Adv CC with CCS	advanced combined cycle with ccs	2017	340	3	1833	1.08	1.04	2059	6.66	31.23	7525	7493	2011	2013
Adv CC with CCS	advanced combined cycle with ccs	2017	340	3	1856	1.08	1.04	2084	6.78	31.79	7525	7493	2012	2014
Adv CC with CCS	advanced combined cycle with ccs	2017	340	3	1845	1.08	1.04	2072	6.78	31.77	7525	7493	2013	2015
Adv Combustion Turbine	advanced combustion turbine	1997	120	2	325				0.1	9.01	9700	8000	1997	1999
Adv Combustion Turbine	advanced combustion turbine	1997	120	2	465				0.1	9.01	9700	8000	1998	2000
Adv Combustion Turbine	advanced combustion turbine	2003	120	2	440	1.05	1	462	0.1	8.94	9133	8000	1999	2001
Adv Combustion Turbine	advanced combustion turbine	2003	120	2	451	1.05	1	474	0.1	9.16	9020	8000	2000	2002
Adv Combustion Turbine	advanced combustion turbine	2004	230	2	439	1.05	1	460	3.07	8.17	9394	8550	2001	2003
