prime_mover_no	fuel_1_no	UTILNAME	PLTNAME	year	net.generation.annual	fuel.consumption	fuel.stock	plant_code	fuel_1	prime_mover
1		BANGOR HYDRO ELECTRIC CO	ELLSWORTH	1996	37615	0	0	1469	WAT	HY
1		BANGOR HYDRO ELECTRIC CO	HOWLAND	1996	7659	0	0	1472	WAT	HY
1		BANGOR HYDRO ELECTRIC CO	MEDWAY	1996	29175	0	0	1474	WAT	HY
3	2	BANGOR HYDRO ELECTRIC CO	MEDWAY	1996	112	202	461	1474	FO2	IC
1		BANGOR HYDRO ELECTRIC CO	MILFORD	1996	48843	0	0	1475	WAT	HY
1		BANGOR HYDRO ELECTRIC CO	ORONO	1996	2471	0	0	1476	WAT	HY
1		BANGOR HYDRO ELECTRIC CO	STILLWATER	1996	10278	0	0	1478	WAT	HY
1		BANGOR HYDRO ELECTRIC CO	VEAZIE A	1996	54599	0	0	1479	WAT	HY
1		BANGOR HYDRO ELECTRIC CO	VEAZIE B	1996	0	0	0	7199	WAT	HY
3	2	BANGOR HYDRO ELECTRIC CO	BAR HARBOR	1996	255	473	674	1466	FO2	IC
3	2	BANGOR HYDRO ELECTRIC CO	EASTPORT	1996	224	389	421	1468	FO2	IC
1		CENTRAL MAINE POWER CO	ANDROSCOG 3	1996	29947	0	0	1480	WAT	HY
1		CENTRAL MAINE POWER CO	BAR MILLS	1996	22779	0	0	1481	WAT	HY
1		CENTRAL MAINE POWER CO	BONNY EAGLE	1996	61028	0	0	1482	WAT	HY
1		CENTRAL MAINE POWER CO	CATARACT	1996	44770	0	0	1486	WAT	HY
1		CENTRAL MAINE POWER CO	CONTINENTAL	1996	2389	0	0	1487	WAT	HY
1		CENTRAL MAINE POWER CO	DEER RIP 1	1996	39465	0	0	1488	WAT	HY
1		CENTRAL MAINE POWER CO	FT HALIFAX	1996	8003	0	0	1490	WAT	HY
1		CENTRAL MAINE POWER CO	GULF ISLAND	1996	156528	0	0	1491	WAT	HY
1		CENTRAL MAINE POWER CO	HARRIS	1996	315552	0	0	1492	WAT	HY
1		CENTRAL MAINE POWER CO	HIRAM	1996	67973	0	0	1493	WAT	HY
1		CENTRAL MAINE POWER CO	MESALONSK 2	1996	13013	0	0	1497	WAT	HY
1		CENTRAL MAINE POWER CO	MESALONSK 3	1996	7784	0	0	1498	WAT	HY
1		CENTRAL MAINE POWER CO	MESALONSK 5	1996	6846	0	0	1500	WAT	HY
1		CENTRAL MAINE POWER CO	NO GORHAM	1996	11891	0	0	1501	WAT	HY
1		CENTRAL MAINE POWER CO	SHAWMUT	1996	57551	0	0	1504	WAT	HY
1		CENTRAL MAINE POWER CO	SKELTON	1996	124968	0	0	1505	WAT	HY
1		CENTRAL MAINE POWER CO	WEST BUXTON	1996	42002	0	0	1508	WAT	HY
1		CENTRAL MAINE POWER CO	WESTON	1996	87653	0	0	1509	WAT	HY
1		CENTRAL MAINE POWER CO	WILLIAMS	1996	106284	0	0	1510	WAT	HY
1		CENTRAL MAINE POWER CO	WYMAN HYDRO	1996	423272	0	0	1511	WAT	HY
4	2	CENTRAL MAINE POWER CO	CAPE	1996	-266	798	5885	1484	FO2	GT
2	2	CENTRAL MAINE POWER CO	WYMAN STEAM	1996	4835	9875	2176	1507	FO2	ST
2	3	CENTRAL MAINE POWER CO	WYMAN STEAM	1996	617629	1141992	581211	1507	FO6	ST
3	2	CENTRAL MAINE POWER CO	ISLESBORO	1996	0	0	0	1494	FO2	IC
3	2	CENTRAL MAINE POWER CO	PEAK IS	1996	0	0	0	1502	FO2	IC
1		CENTRAL MAINE POWER CO	BRUNSWICK	1996	112687	0	0	1483	WAT	HY
1		CENTRAL MAINE POWER CO	W CHANNEL	1996	-148	0	0	695	WAT	HY
1		CENTRAL MAINE POWER CO	BATES UPPER	1996	2742	0	0	7044	WAT	HY
1		CENTRAL MAINE POWER CO	BATES LOWER	1996	0	0	0	7045	WAT	HY
1		CENTRAL MAINE POWER CO	ANDRO LOWER	1996	199	0	0	7047	WAT	HY
1		CENTRAL MAINE POWER CO	HILL MILL	1996	2624	0	0	7048	WAT	HY
1		CENTRAL MAINE POWER CO	C E MONTY	1996	165601	0	0	805	WAT	HY
1		CENTRAL MAINE POWER CO	SMELT HILL	1996	1759	0	0	7514	WAT	HY
2	B	CENTRAL MAINE POWER CO	AROOSTOOK V	1996	682	0	0	7513	WD	ST
1		MAINE PUBLIC SERVICE CO	CARIBOU	1996	5167	0	0	1513	WAT	HY
2	3	MAINE PUBLIC SERVICE CO	CARIBOU	1996	-366	25	286	1513	FO6	ST
3	2	MAINE PUBLIC SERVICE CO	CARIBOU	1996	-420	265	1028	1513	FO2	IC
1		MAINE PUBLIC SERVICE CO	SQUA PAN	1996	776	0	0	1516	WAT	HY
3	2	MAINE PUBLIC SERVICE CO	FLOS INN	1996	-248	161	223	1514	FO2	IC
3	2	MAINE PUBLIC SERVICE CO	HOULTON	1996	0	0	0	1515	FO2	IC
2	1	MAINE YANKEE ATOMIC PWR C	MAIN YANKEE	1996	5062017	0	0	1517	UR	ST
1		LEWISTON (CITY OF)	ANDRO UPPER	1996	3948	0	0	7046	WAT	HY
1		MADISON (CITY OF)	NORRIDGEWCK	1996	2	0	0	6701	WAT	HY
3	2	EASTERN MAINE ELEC COOP	PORTABLE	1996	0	0	0	6366	FO2	IC
3	2	SWANS ISLAND ELEC COOP	MINTURN	1996	0	0	0	1550	FO2	IC
1		NEW ENGLAND POWER CO	COMERFORD	1996	411858	0	0	2349	WAT	HY
1		NEW ENGLAND POWER CO	MCINDOES	1996	59097	0	0	6483	WAT	HY
1		NEW ENGLAND POWER CO	S C MOORE	1996	374881	0	0	2351	WAT	HY
1		NEW ENGLAND POWER CO	VERNON	1996	86823	0	0	2352	WAT	HY
1		NEW ENGLAND POWER CO	WILDER	1996	107299	0	0	2353	WAT	HY
2	1	PUB SERV CO OF NEW HAMP	SEABROOK	1996	9844744	0	0	6115	UR	ST
1		PUB SERV CO OF NEW HAMP	AMOSKEAG	1996	101786	0	0	2354	WAT	HY
1		PUB SERV CO OF NEW HAMP	AYERS IS	1996	49435	0	0	2355	WAT	HY
1		PUB SERV CO OF NEW HAMP	EASTMAN FLS	1996	24797	0	0	2356	WAT	HY
1		PUB SERV CO OF NEW HAMP	GARVIN FLS	1996	50981	0	0	2357	WAT	HY
1		PUB SERV CO OF NEW HAMP	GORHAM	1996	12784	0	0	2358	WAT	HY
1		PUB SERV CO OF NEW HAMP	HOOKSETT	1996	8610	0	0	2359	WAT	HY
1		PUB SERV CO OF NEW HAMP	JACKMAN	1996	14899	0	0	2360	WAT	HY
1		PUB SERV CO OF NEW HAMP	SMITH STA	1996	122350	0	0	2368	WAT	HY
4	2	PUB SERV CO OF NEW HAMP	LOST NATION	1996	-53	200	1055	2362	FO2	GT
2	2	PUB SERV CO OF NEW HAMP	MERRIMACK	1996	522	774	196	2364	FO2	ST
2	6	PUB SERV CO OF NEW HAMP	MERRIMACK	1996	2645847	1033690	265237	2364	BIT	ST
4	2	PUB SERV CO OF NEW HAMP	MERRIMACK	1996	124	838	669	2364	FO2	GT
2	3	PUB SERV CO OF NEW HAMP	SCHILLER	1996	32075	62161	1703	2367	FO6	ST
2	6	PUB SERV CO OF NEW HAMP	SCHILLER	1996	663848	335258	94245	2367	BIT	ST
4	2	PUB SERV CO OF NEW HAMP	SCHILLER	1996	-8	280	1716	2367	FO2	GT
4	9	PUB SERV CO OF NEW HAMP	SCHILLER	1996	280	3325	0	2367	NG	GT
4	2	PUB SERV CO OF NEW HAMP	WHITE LAKE	1996	15	267	1716	2369	FO2	GT
2	2	PUB SERV CO OF NEW HAMP	NEWINGTON	1996	11902	23998	1766	8002	FO2	ST
2	3	PUB SERV CO OF NEW HAMP	NEWINGTON	1996	793666	1419814	466783	8002	FO6	ST
2	9	PUB SERV CO OF NEW HAMP	NEWINGTON	1996	0	0	0	8002	NG	ST
1		CENTRAL VT PUB SERV CORP	ARNOLD FLS	1996	1838	0	0	3707	WAT	HY
1		CENTRAL VT PUB SERV CORP	CAVENDISH	1996	6592	0	0	3710	WAT	HY
1		CENTRAL VT PUB SERV CORP	CLARKS FLS	1996	17249	0	0	3711	WAT	HY
1		CENTRAL VT PUB SERV CORP	FAIRFAX	1996	24476	0	0	3712	WAT	HY
1		CENTRAL VT PUB SERV CORP	GAGE	1996	3211	0	0	3713	WAT	HY
1		CENTRAL VT PUB SERV CORP	GLEN	1996	10029	0	0	3714	WAT	HY
1		CENTRAL VT PUB SERV CORP	LW MIDLEBRY	1996	8774	0	0	3716	WAT	HY
1		CENTRAL VT PUB SERV CORP	MILTON	1996	43411	0	0	3717	WAT	HY
1		CENTRAL VT PUB SERV CORP	PASSUMPSIC	1996	3898	0	0	3718	WAT	HY
1		CENTRAL VT PUB SERV CORP	PATCH	1996	1027	0	0	3719	WAT	HY
1		CENTRAL VT PUB SERV CORP	PIERCE MLS	1996	1461	0	0	3721	WAT	HY
1		CENTRAL VT PUB SERV CORP	PITTSFORD	1996	12376	0	0	3722	WAT	HY
1		CENTRAL VT PUB SERV CORP	SALISBURY	1996	4322	0	0	3724	WAT	HY
1		CENTRAL VT PUB SERV CORP	SILVER LAKE	1996	8368	0	0	3725	WAT	HY
1		CENTRAL VT PUB SERV CORP	TAFTSVILLE	1996	1686	0	0	3727	WAT	HY
1		CENTRAL VT PUB SERV CORP	WEYBRIDGE	1996	16526	0	0	3728	WAT	HY
1		CENTRAL VT PUB SERV CORP	PETERSON	1996	31145	0	0	3720	WAT	HY
4	2	CENTRAL VT PUB SERV CORP	RUTLAND	1996	220	1487	39277	3723	FO2	GT
4	2	CENTRAL VT PUB SERV CORP	ASCUTNEY	1996	66	934	38226	3708	FO2	GT
3	2	CENTRAL VT PUB SERV CORP	ST ALBANS	1996	0	0	2426	3726	FO2	IC
1		CENTRAL VT PUB SERV CORP	SMITH	1996	5682	0	0	3709	WAT	HY
1		CENTRAL VT PUB SERV CORP	EAST BARNET	1996	9123	0	0	788	WAT	HY
1		CITIZENS UTILITIES CO	CHARLESTON	1996	3925	0	0	3729	WAT	HY
1		CITIZENS UTILITIES CO	NEWPORT	1996	19708	0	0	3731	WAT	HY
3	2	CITIZENS UTILITIES CO	NEWPORT DSL	1996	22	40	68	3730	FO2	IC
1		CITIZENS UTILITIES CO	TROY	1996	329	0	0	3733	WAT	HY
1		GREEN MOUNTAIN POWER CORP	ESSEX 19	1996	39444	0	0	3737	WAT	HY
3	2	GREEN MOUNTAIN POWER CORP	ESSEX 19	1996	46	112	260	3737	FO2	IC
1		GREEN MOUNTAIN POWER CORP	GORGE NO 18	1996	10581	0	0	6475	WAT	HY
1		GREEN MOUNTAIN POWER CORP	MARSHFIELD6	1996	10086	0	0	3739	WAT	HY
1		GREEN MOUNTAIN POWER CORP	MIDDLESEX 2	1996	15550	0	0	3740	WAT	HY
1		GREEN MOUNTAIN POWER CORP	VERGENNES 9	1996	11083	0	0	6519	WAT	HY
3	2	GREEN MOUNTAIN POWER CORP	VERGENNES 9	1996	133	239	306	6519	FO2	IC
1		GREEN MOUNTAIN POWER CORP	WATRBRY 22	1996	19833	0	0	6520	WAT	HY
1		GREEN MOUNTAIN POWER CORP	W DANVIL 15	1996	5185	0	0	3743	WAT	HY
4	2	GREEN MOUNTAIN POWER CORP	BERLIN NO 5	1996	2021	5667	13978	3734	FO2	GT
4	2	GREEN MOUNTAIN POWER CORP	COLCHSTR 16	1996	417	1454	1638	3735	FO2	GT
1		GREEN MOUNTAIN POWER CORP	BOLTON FALL	1996	34418	0	0	7056	WAT	HY
7	D	GREEN MOUNTAIN POWER CORP	CARTHUSIANS	1996	0	0	0	7260	WI	WI
1		NEW ENGLAND POWER CO	BELLOWS FLS	1996	277042	0	0	3745	WAT	HY
